City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Hobart,AU,2020-12-02 20:51:08,-42.88,147.33,54.0,61,75,6.93
70,Progreso,MX,2020-12-02 20:49:41,21.28,-89.67,80.6,61,75,9.17
71,Karlshamn,SE,2020-12-02 20:47:28,56.17,14.86,39.0,80,90,9.17
72,Auki,SB,2020-12-02 20:52:14,-8.77,160.7,82.51,70,95,3.8
73,Emba,KZ,2020-12-02 20:52:14,48.83,58.14,-1.97,91,0,7.09
74,La Rioja,ES,2020-12-02 20:52:14,42.25,-2.5,43.0,81,75,12.75
75,Hithadhoo,MV,2020-12-02 20:52:14,-0.6,73.08,82.24,79,62,17.45
76,Chokurdakh,RU,2020-12-02 20:52:14,70.63,147.92,-3.78,93,96,4.0
77,Grindavik,IS,2020-12-02 20:52:14,63.84,-22.43,26.6,79,75,32.21
78,Richards Bay,ZA,2020-12-02 20:52:14,-28.78,32.04,65.62,75,100,3.69
79,Cherskiy,RU,2020-12-02 20:52:14,68.75,161.3,-18.24,86,49,3.94
80,Kitsuki,JP,2020-12-02 20:52:14,33.42,131.62,49.03,72,2,6.82
81,East London,ZA,2020-12-02 20:52:14,-33.02,27.91,62.28,69,44,6.44
82,Saskylakh,RU,2020-12-02 20:52:15,71.92,114.08,17.78,96,100,12.84
83,Pevek,RU,2020-12-02 20:52:15,69.7,170.31,-12.1,86,0,5.84
84,Khuzhir,RU,2020-12-02 20:52:15,53.19,107.34,16.29,88,92,12.17
85,Eureka,US,2020-12-02 20:52:15,40.8,-124.16,52.0,100,90,4.27
86,Kitgum,UG,2020-12-02 20:52:15,3.28,32.89,71.55,66,64,3.11
87,Charters Towers,AU,2020-12-02 20:52:15,-20.1,146.27,75.58,76,74,10.25
88,Fushe-Arrez,AL,2020-12-02 20:52:15,42.06,20.02,35.46,83,97,6.42
89,Tuatapere,NZ,2020-12-02 20:52:15,-46.13,167.68,53.01,73,93,13.0
90,Havelock,US,2020-12-02 20:52:16,34.88,-76.9,50.0,46,1,11.41
91,Fortuna,US,2020-12-02 20:52:16,40.6,-124.16,53.01,87,16,1.01
92,Vostok,RU,2020-12-02 20:52:17,46.49,135.88,0.82,95,100,4.16
93,Praia Da Vitoria,PT,2020-12-02 20:50:37,38.73,-27.07,61.0,82,75,22.66
94,Mount Isa,AU,2020-12-02 20:52:17,-20.73,139.5,77.0,50,33,2.24
95,Ottersberg,DE,2020-12-02 20:52:18,53.1,9.15,37.4,86,75,6.93
96,Sayyan,YE,2020-12-02 20:52:18,15.17,44.32,50.43,58,0,2.57
97,Iqaluit,CA,2020-12-02 20:52:18,63.75,-68.51,14.0,72,40,2.24
98,Carnarvon,AU,2020-12-02 20:52:18,-24.87,113.63,69.8,68,0,17.22
99,Vaini,TO,2020-12-02 20:52:18,-21.2,-175.2,78.8,83,75,10.29
100,Port Lincoln,AU,2020-12-02 20:52:18,-34.73,135.87,60.21,71,19,10.36
101,Mahibadhoo,MV,2020-12-02 20:52:18,3.78,72.97,82.6,75,96,15.82
